Structure [idcode],Compound-ID,Product-ID,Provider,Molweight,Substance Name,Amount (g),Price,Currency,Stock (g),Smiles
foAAb@BFlBlRYfyVvRtzB@`F@@@ !B?`BH?K_|bOw~@Ox@m?vH@k\BmpJw?Ha}?`Bw_P,,EN300-9804458,Enamine,314.07,3-hydroxy-4-iodonaphthalene-2-carboxylic acid,0.1,277,USD,5.235,OC(c1cc2ccccc2c(I)c1O)=O
fnc`S@@dKUhJpUXflrJJIJIPiJJFYdoY``h``jF`aY@@ !BbOrH?_x@?g~H?H`BbGvH?_x@?`BH@oy?b@JH_Xc}bGw~@H`B?g~H@k\BbOt,,EN300-123970,Enamine,650.96,"(2S)-2-amino-3-[4-(4-hydroxy-3-iodophenoxy)-3,5-diiodophenyl]propanoic acid",0.1,66,USD,10,N[C@@H](Cc(cc1I)cc(I)c1Oc(cc1)cc(I)c1O)C(O)=O
flupb@EZRRPJqIf^{]eVBtZJXHHfh@A@@@ !Bmww~_{\BbGvw_[]}?g~w@aaSYuMeGqh_Tv^?SmKOTv]SY}KO,,EN300-7465321,Enamine,365.13,"2-iodo-6-[3-(pyridin-4-yl)-1,2,4-oxadiazol-5-yl]phenol",0.1,470,USD,0.271,Oc(c(-c1nc(-c2ccncc2)n[o]1)ccc1)c1I
fjm`Q@EDSdhJrVHdsOOlk[LyxLDAS@AS@@@ !B?`BH?K_|bOw~@Ox@mpJH@k\BbGvH@ox@bGvH?H`BbOw~@Hc|b@Jw@`,,EN300-26677712,Enamine,462.03,5-{[(5-bromo-2-hydroxy-3-iodophenyl)methylidene]amino}-2-hydroxybenzoic acid,0.1,466,USD,0.175,OC(c(cc(cc1)N=Cc2cc(Br)cc(I)c2O)c1O)=O
fjmAQ@BLtgHJpUYdTTTtqfbbTWIQKADQLDC@@@@ !B?`Bw?Hc|m?w~@Hc}?`Bw@h`Bb@K~@Hc}b@K~_?x@bOvH?[\Bb@K~_p,,EN300-6736016,Enamine,510.01,"2-(2,4-dihydroxy-3,5-diiodobenzoyl)benzoic acid",0.1,515,USD,10,OC(c(cccc1)c1C(c(cc(c(O)c1I)I)c1O)=O)=O
fgsaJb@djwlu{O\EXJlSVEkAzC^GNQQQIQJEIQQZX@@AdoY``h``jIhHVP@ !BmpK~@K]}bOrw?K\B?`C~@K_}mwvH@k\BmpK~@Ox@?`Bw_X`BmpJw@oy?mpK~@K_vJ@BB@OX@JKjBn`,,EN300-7414243,Enamine,888.91,"sodium (2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoate pentahydrate",0.1,404,USD,0.206,N[C@@H](Cc(cc1I)cc(I)c1Oc(cc1I)cc(I)c1O)C([O-])=O.O.O.O.O.O.[Na+]
fek`R`@djwhJpUXflKVSbLbbbRbTJRbbtqCI^sAAQAATSTDKH@ !BiLw~yzSRf|vdsZSMf}K~yzSRiMK~zIoMiLv[tioR?n^dto{hf|v[s_{hiLv[tjSR@ID,,EN300-45689545,Enamine,827.34,"methyl (2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoate hydrochloride",0.1,152,USD,10,COC([C@H](Cc(cc1I)cc(I)c1Oc(cc1I)cc(I)c1O)N)=O.Cl
fas`P`@djwhJpUXflKVYEEDeDhTeEEifR}fBBbBBhf`aY@@ !BbOrH?_x@?g~H?H`BbGvH?_x@?`C~_x`Bb@JH?Xa}bGw~@Oy?bOrH@h`BmpJH?P,,EN300-708765,Enamine,776.85,"(2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoic acid",1,19,USD,10,N[C@@H](Cc(cc1I)cc(I)c1Oc(cc1I)cc(I)c1O)C(O)=O
fakAa@BJBBlyVYEEEhcMEEDlmfB\GMXHHfdJBJH@@ !BYVATaM~fpIeeXFU`UHS_im~fJ{meXA|ZKAc~@K_}Tq`@?k_|m?pBbK]}@O{|b@,,EN300-7363475,Enamine,546.13,"4-(2-butyl-1-benzofuran-3-carbonyl)-2,6-diiodophenol",0.1,22,USD,10,CCCCc1c(C(c(cc2I)cc(I)c2O)=O)c(cccc2)c2[o]1
f`~Pa@EVHXEYzHRYg]nqgHHBjZ@@@ !B?h@w@d`BMww~`Oz@R@IH@da}?k}H@oz@RGuH@`Bz,,EN300-37474797,Enamine,356.59,2-amino-3-(4-hydroxy-3-iodophenyl)-N-methylpropanamide hydrochloride,0.1,410,USD,10,CNC(C(Cc(cc1)cc(I)c1O)N)=O.Cl
eodXJH@EBKGO@`JsHhhllheEJeEEDdefNJnekcghHBjfZj@@@BBBR@@ !B?g~H_[]}b@K~_?y?m?vw?[\Bm?w~@K\BmpJH@ox@m?vw@k_}s}Hqorn{YVC_fUR{wz[_ifT_YQ}eXER{,,EN300-7374728,Enamine,529.33,(2R)-2-({[(9H-fluoren-9-yl)methoxy]carbonyl}amino)-3-(4-hydroxy-3-iodophenyl)propanoic acid,0.25,19,USD,10,OC([C@@H](Cc(cc1)cc(I)c1O)NC(OCC1c(cccc2)c2-c2c1cccc2)=O)=O
do~LPMJwBlzlrJJKQESQa``bjX@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@b@JH__x@bOrw?@,,EN300-178305,Enamine,432.97,"2-amino-3-(4-hydroxy-3,5-diiodophenyl)propanoic acid",0.1,52,USD,0.582,NC(Cc(cc1I)cc(I)c1O)C(O)=O
do~LPMJwBlzlrJJKQESQa``bjXaT@ !Bb@JH__x@?g~H@h`BbGw~@Ox@b@JH__x@bOrw?@,,EN300-155423,Enamine,432.97,"(2S)-2-amino-3-(4-hydroxy-3,5-diiodophenyl)propanoic acid",1,19,USD,10,N[C@@H](Cc(cc1I)cc(I)c1O)C(O)=O
do~LPMJwBlzlrJJKQESQa``bjXaX@ !Bb@JH__x@?g~H@h`BbGw~@Ox@b@JH__x@bOrw?@,,EN300-7363299,Enamine,432.97,"(2R)-2-amino-3-(4-hydroxy-3,5-diiodophenyl)propanoic acid",0.25,19,USD,10,N[C@H](Cc(cc1I)cc(I)c1O)C(O)=O
