,SMILES,Source,NAME,PUBLICATION DOI,CLASS,Properties,LogP,MW,HBD,HBA,PSA,ROTB,FSP3,QED,HeavyAtomCount,Fingerprint,tSNE-1,tSNE-2
0,C[C@@H]1CC[C@H]2C(C)(C)[C@H](O)CC[C@]2(C)[C@@]12Cc1c(c(C(=O)O)cc3ccccc13)O2,Enamine,,,,"{'LogP': 5.445000000000005, 'MW': 408.53800000000007, 'HBD': 2, 'HBA': 3, 'PSA': 66.76, 'ROTB': 1, 'FSP3': 0.5769230769230769, 'QED': 0.6588427985648686, 'HeavyAtomCount': 30}",5.445000000000005,408.53800000000007,2,3,66.76,1,0.5769230769230769,0.6588427985648686,30,[0 0 0 ... 0 0 0],-15.224276,-8.642947
1,C[C@@H]1CC[C@H]2[C@@](C)(CO)[C@H](O)CC[C@]2(C)[C@@]12Cc1c(c(C(=O)O)cc3ccccc13)O2,Enamine,,,,"{'LogP': 4.417400000000003, 'MW': 424.53700000000015, 'HBD': 3, 'HBA': 4, 'PSA': 86.99000000000001, 'ROTB': 2, 'FSP3': 0.5769230769230769, 'QED': 0.6644407503760765, 'HeavyAtomCount': 31}",4.417400000000003,424.53700000000015,3,4,86.99000000000001,2,0.5769230769230769,0.6644407503760765,31,[0 0 0 ... 0 0 0],-15.210316,-8.633631
2,CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@@H](C)[C@]23Cc2c(c(C(=O)O)cc4ccccc24)O3)C1(C)C,Enamine,,,,"{'LogP': 6.015800000000007, 'MW': 450.5750000000002, 'HBD': 1, 'HBA': 4, 'PSA': 72.83000000000001, 'ROTB': 2, 'FSP3': 0.5714285714285714, 'QED': 0.566883647520978, 'HeavyAtomCount': 33}",6.015800000000007,450.5750000000002,1,4,72.83000000000001,2,0.5714285714285714,0.566883647520978,33,[0 0 0 ... 0 0 0],33.678257,-11.379542
3,C[C@@H]1CC[C@H]2C(C)(C)[C@H](O)[C@H](O)C[C@]2(C)[C@@]12Cc1c(c(C(=O)O)cc3ccccc13)O2,Enamine,,,,"{'LogP': 4.4158000000000035, 'MW': 424.53700000000015, 'HBD': 3, 'HBA': 4, 'PSA': 86.99000000000001, 'ROTB': 1, 'FSP3': 0.5769230769230769, 'QED': 0.6310027511118459, 'HeavyAtomCount': 31}",4.4158000000000035,424.53700000000015,3,4,86.99000000000001,1,0.5769230769230769,0.6310027511118459,31,[0 0 0 ... 0 0 0],14.932229,-14.652694
4,C[C@@H]1CC[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@@]12Cc1c(c(C(=O)O)cc3ccccc13)O2,Enamine,,,,"{'LogP': 5.653200000000006, 'MW': 406.5220000000001, 'HBD': 1, 'HBA': 3, 'PSA': 63.60000000000001, 'ROTB': 1, 'FSP3': 0.5384615384615384, 'QED': 0.6642875946384009, 'HeavyAtomCount': 30}",5.653200000000006,406.5220000000001,1,3,63.60000000000001,1,0.5384615384615384,0.6642875946384009,30,[0 0 0 ... 0 0 0],-36.704735,4.1427674
5,CC(=O)O[C@@H]1[C@H](O)C[C@@]2(C)[C@@H](CC[C@@H](C)[C@]23Cc2c(c(C(=O)O)cc4ccccc24)O3)C1(C)C,Enamine,,,,"{'LogP': 4.986600000000005, 'MW': 466.5740000000002, 'HBD': 2, 'HBA': 5, 'PSA': 93.06, 'ROTB': 2, 'FSP3': 0.5714285714285714, 'QED': 0.6061708440350941, 'HeavyAtomCount': 34}",4.986600000000005,466.5740000000002,2,5,93.06,2,0.5714285714285714,0.6061708440350941,34,[0 0 0 ... 0 0 0],15.278722,-14.729616
6,C[C@@H]1CC[C@H]2C(C)(C)[C@H](O)CC[C@]2(C)[C@@]12Cc1cc(Oc3c(I)cc(C[C@H](N)C(=O)O)cc3I)ccc1O2,Enamine,,,,"{'LogP': 6.549500000000007, 'MW': 745.4360000000001, 'HBD': 3, 'HBA': 5, 'PSA': 102.01000000000002, 'ROTB': 5, 'FSP3': 0.5666666666666667, 'QED': 0.3006178362389438, 'HeavyAtomCount': 38}",6.549500000000007,745.4360000000001,3,5,102.01000000000002,5,0.5666666666666667,0.3006178362389438,38,[0 1 0 ... 0 0 0],-12.158462,-30.361889
7,C[C@@H]1CC[C@H]2[C@@](C)(CO)[C@H](O)CC[C@]2(C)[C@@]12Cc1cc(Oc3c(I)cc(C[C@H](N)C(=O)O)cc3I)ccc1O2,Enamine,,,,"{'LogP': 5.521900000000005, 'MW': 761.4350000000002, 'HBD': 4, 'HBA': 6, 'PSA': 122.24000000000001, 'ROTB': 6, 'FSP3': 0.5666666666666667, 'QED': 0.2863979542882789, 'HeavyAtomCount': 39}",5.521900000000005,761.4350000000002,4,6,122.24000000000001,6,0.5666666666666667,0.2863979542882789,39,[0 1 0 ... 0 0 0],-12.551184,-30.343784
8,CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@@H](C)[C@]23Cc2cc(Oc4c(I)cc(C[C@H](N)C(=O)O)cc4I)ccc2O3)C1(C)C,Enamine,,,,"{'LogP': 7.120300000000007, 'MW': 787.4730000000001, 'HBD': 2, 'HBA': 6, 'PSA': 108.08000000000001, 'ROTB': 6, 'FSP3': 0.5625, 'QED': 0.23738897473370313, 'HeavyAtomCount': 41}",7.120300000000007,787.4730000000001,2,6,108.08000000000001,6,0.5625,0.23738897473370313,41,[0 1 0 ... 0 0 0],-11.858813,-30.430592
9,C[C@@H]1CC[C@H]2C(C)(C)[C@H](O)[C@H](O)C[C@]2(C)[C@@]12Cc1cc(Oc3c(I)cc(C[C@H](N)C(=O)O)cc3I)ccc1O2,Enamine,,,,"{'LogP': 5.520300000000004, 'MW': 761.4350000000002, 'HBD': 4, 'HBA': 6, 'PSA': 122.24000000000001, 'ROTB': 5, 'FSP3': 0.5666666666666667, 'QED': 0.29650845671487364, 'HeavyAtomCount': 39}",5.520300000000004,761.4350000000002,4,6,122.24000000000001,5,0.5666666666666667,0.29650845671487364,39,[0 1 0 ... 0 0 0],-11.065579,-30.534407
